variable,value,seconds
K,16,0.00079699995694682
K,32,0.0009898000280372798
K,64,0.0017534999642521143
K,128,0.0034472999977879226
K,256,0.01213889999780804
K,512,0.01847860001726076
K,1024,0.037227599998004735
L,8,0.006240300019271672
L,16,0.005598299962002784
L,32,0.00667309999698773
L,64,0.007451400044374168
L,128,0.009700299997348338
L,256,0.011036299983970821
L,512,0.015678800002206117
n,2,0.006435799994505942
n,3,0.007146399992052466
n,4,0.006766300008166581
n,6,0.012184899998828769
n,8,0.010441299993544817
n,10,0.00833550002425909
n,12,0.009859199984930456
