nodes,method,seconds
30,POT-GW,0.01397289999295026
30,POT-entropic-GW,0.02182089997222647
30,Full-DMW,0.006587599986232817
30,Sliced-DMW,0.0064965999918058515
50,POT-GW,0.002674599993042648
50,POT-entropic-GW,0.008436800038907677
50,Full-DMW,0.007203899964224547
50,Sliced-DMW,0.0071858000010252
80,POT-GW,0.011701400042511523
80,POT-entropic-GW,0.019645699998363853
80,Full-DMW,0.006285500014200807
80,Sliced-DMW,0.006363200023770332
120,POT-GW,0.02339159999974072
120,POT-entropic-GW,0.04399809997994453
120,Full-DMW,0.005544000014197081
120,Sliced-DMW,0.005171100026927888
200,POT-GW,
200,POT-entropic-GW,0.06328729999950156
200,Full-DMW,0.006361800013110042
200,Sliced-DMW,0.005615000030957162
350,POT-GW,
350,POT-entropic-GW,0.07876330002909526
350,Full-DMW,0.004240900045260787
350,Sliced-DMW,0.004956700024195015
600,POT-GW,
600,POT-entropic-GW,0.32274480001069605
600,Full-DMW,0.006297599989920855
600,Sliced-DMW,0.005585600039921701
1000,POT-GW,
1000,POT-entropic-GW,
1000,Full-DMW,0.005572699999902397
1000,Sliced-DMW,0.0037258000229485333
